Date,Open,High,Low,Close,Volume
2020-01-22 02-AM,8707.42,8707.42,8706.84,8706.84,0.0
2020-01-22 01-AM,8728.48,8730,8695.31,8707.42,96.49
2020-01-22 12-AM,8717.89,8749.03,8708.14,8728.48,67.57
2020-01-21 11-PM,8703.66,8747.23,8703.66,8717.89,89.66
2020-01-21 10-PM,8713.93,8726.15,8673.44,8703.66,161.46
2020-01-21 09-PM,8715.75,8778.66,8704.42,8713.93,188.0
2020-01-21 08-PM,8506.67,8716.98,8506.67,8715.75,442.66
2020-01-21 07-PM,8611.63,8634.35,8480,8506.67,334.0
2020-01-21 06-PM,8633.81,8638.65,8599.17,8611.63,161.89
2020-01-21 05-PM,8625.57,8642.1,8611.72,8633.81,104.7
2020-01-21 04-PM,8631.89,8650.39,8610,8625.57,147.39
2020-01-21 03-PM,8641,8671.7,8630,8631.89,102.76
2020-01-21 02-PM,8647,8651.56,8632.19,8641,161.35
2020-01-21 01-PM,8642.87,8656.88,8632.02,8647,56.24
2020-01-21 12-PM,8644.98,8657.82,8614.33,8642.87,95.99
2020-01-21 11-AM,8646.87,8666.65,8625.81,8644.98,99.77
2020-01-21 10-AM,8617.67,8661.38,8589.1,8646.87,135.2
2020-01-21 09-AM,8636.83,8651.02,8610,8617.67,174.77
2020-01-21 08-AM,8618.94,8654.03,8595.94,8636.83,176.51
2020-01-21 07-AM,8628.18,8641.75,8603.14,8618.94,80.77
2020-01-21 06-AM,8638.27,8647.48,8614.74,8628.18,114.9
2020-01-21 05-AM,8655,8666.47,8618.62,8638.27,90.66
2020-01-21 04-AM,8653.15,8683.73,8650.06,8655,81.75
2020-01-21 03-AM,8645.38,8668.84,8638.95,8653.15,29.1
2020-01-21 02-AM,8634.1,8660.47,8625.13,8645.38,123.01
2020-01-21 01-AM,8617.21,8643.69,8609.76,8634.1,104.93
2020-01-21 12-AM,8625.17,8648.6,8601.93,8617.21,137.21
2020-01-20 11-PM,8644.96,8668.16,8598.92,8625.17,155.21
2020-01-20 10-PM,8670.7,8740.54,8619.88,8644.96,244.91
2020-01-20 09-PM,8655.22,8672.66,8650,8670.7,40.36
2020-01-20 08-PM,8655.28,8665.48,8650,8655.22,69.31
2020-01-20 07-PM,8648.18,8668.46,8642.34,8655.28,57.57
2020-01-20 06-PM,8627.91,8663.5,8623.77,8648.18,40.85
2020-01-20 05-PM,8655.09,8664.69,8623.5,8627.91,127.95
2020-01-20 04-PM,8664.78,8688.66,8637.03,8655.09,274.63
2020-01-20 03-PM,8646.1,8666,8623.21,8664.78,116.35
2020-01-20 02-PM,8597.63,8654.42,8580.53,8646.1,308.7
2020-01-20 01-PM,8569.93,8632.1,8507.93,8597.63,475.02
2020-01-20 12-PM,8603.31,8624.61,8533.79,8569.93,298.23
2020-01-20 11-AM,8644.05,8660,8588.22,8603.31,344.47
2020-01-20 10-AM,8643.78,8659.93,8628,8644.05,112.1
2020-01-20 09-AM,8628.77,8660,8624.49,8643.78,226.41
2020-01-20 08-AM,8652.98,8672.42,8582.82,8628.77,338.91
2020-01-20 07-AM,8671.74,8681.62,8630,8652.98,246.99
