Date,Open,High,Low,Close,Volume
2020-01-22 01-AM,8725,8725,8693.1,8709.1,87.34
2020-01-22 12-AM,8723.3,8740.6,8708.9,8725,145.33
2020-01-21 11-PM,8711.2,8740.7,8711.2,8723.3,101.23
2020-01-21 10-PM,8723.9,8723.9,8672.1,8711.2,188.29
2020-01-21 09-PM,8700,8782.2,8699.9,8723.9,510.88
2020-01-21 08-PM,8515.4,8705,8507.5,8700,794.45
2020-01-21 07-PM,8618,8629.7,8333,8515.4,1178.2
2020-01-21 06-PM,8640.1,8640.1,8606.7,8618,149.66
2020-01-21 05-PM,8630.3,8640.9,8616,8640.1,176.26
2020-01-21 04-PM,8639,8645.2,8610,8630.3,185.77
2020-01-21 03-PM,8644.9,8676.3,8639,8639,162.1
2020-01-21 02-PM,8649.8,8649.8,8634.6,8644.9,74.42
2020-01-21 01-PM,8644.5,8655,8632,8649.8,155.44
2020-01-21 12-PM,8639.9,8649.9,8622.9,8644.5,141.96
2020-01-21 11-AM,8641.3,8662.9,8631.1,8639.9,37.0
2020-01-21 10-AM,8613.1,8657.3,8583.3,8641.3,127.31
2020-01-21 09-AM,8641.7,8646.5,8612.9,8613.1,34.99
2020-01-21 08-AM,8615.4,8641.7,8600,8641.7,77.6
2020-01-21 07-AM,8634.6,8636.1,8603,8615.4,58.63
2020-01-21 06-AM,8643.4,8647,8619.5,8634.6,34.8
2020-01-21 05-AM,8660.3,8660.3,8619.6,8643.4,47.14
2020-01-21 04-AM,8654.3,8675,8651.2,8660.3,62.74
2020-01-21 03-AM,8649.8,8659.7,8640.2,8654.3,43.64
2020-01-21 02-AM,8637.1,8650,8631,8649.8,20.81
2020-01-21 01-AM,8620.4,8641.8,8620,8637.1,42.52
2020-01-21 12-AM,8629.4,8647.3,8600.3,8620.4,116.17
2020-01-20 11-PM,8648,8663.1,8600.6,8629.4,203.0
2020-01-20 10-PM,8671.8,8731.9,8640.1,8648,289.93
2020-01-20 09-PM,8655.1,8677,8648.4,8671.8,50.75
2020-01-20 08-PM,8659,8660.1,8647.7,8655.1,99.47
2020-01-20 07-PM,8647.2,8667.9,8642.7,8659,176.58
2020-01-20 06-PM,8627.1,8662.8,8626.7,8647.2,105.34
2020-01-20 05-PM,8659.9,8660.5,8625.1,8627.1,111.63
2020-01-20 04-PM,8662,8687.9,8639.3,8659.9,259.2
2020-01-20 03-PM,8645.3,8679.4,8618.6,8662,366.63
2020-01-20 02-PM,8592.1,8656.5,8575,8645.3,187.24
2020-01-20 01-PM,8578,8633,8510,8592.1,408.12
2020-01-20 12-PM,8602.3,8622.1,8542.7,8578,395.9
2020-01-20 11-AM,8649.3,8649.3,8590.3,8602.3,59.02
2020-01-20 10-AM,8642.9,8659,8630.8,8649.3,111.77
2020-01-20 09-AM,8632.4,8658.3,8632.4,8642.9,40.91
2020-01-20 08-AM,8642.6,8664.8,8582.8,8632.4,178.99
2020-01-20 07-AM,8666.2,8673.7,8625.9,8642.6,87.94
2020-01-20 06-AM,8659.7,8670.6,8650.1,8666.2,70.54
2020-01-20 05-AM,8630,8667,8630,8659.7,66.11
2020-01-20 04-AM,8652,8671.1,8621.9,8630,77.53
2020-01-20 03-AM,8640,8652,8628.1,8652,94.21
2020-01-20 02-AM,8635,8662.3,8630,8640,77.77
2020-01-20 01-AM,8659,8686.3,8635,8635,71.01
2020-01-20 12-AM,8705.8,8726,8640,8659,189.91
2020-01-19 11-PM,8627.9,8709.9,8614.6,8705.8,299.1
2020-01-19 10-PM,8719.3,8740,8480,8627.9,810.4
2020-01-19 09-PM,8640.4,8751.6,8635.9,8719.3,293.78
2020-01-19 08-PM,8644.3,8647.9,8626.7,8640.4,93.9
2020-01-19 07-PM,8641.3,8646.3,8621.9,8644.3,60.24
2020-01-19 06-PM,8650.5,8650.5,8620.1,8641.3,79.06
2020-01-19 05-PM,8636.7,8656.6,8611.5,8650.5,150.81
2020-01-19 04-PM,8630,8664.1,8609,8636.7,165.42
2020-01-19 03-PM,8620,8637.4,8596.6,8630,135.0
2020-01-19 02-PM,8625.7,8648.3,8609.9,8620,100.65
2020-01-19 01-PM,8623.4,8635.4,8557.2,8625.7,275.4
2020-01-19 12-PM,8668,8668,8557.2,8623.4,418.12
2020-01-19 11-AM,9023.2,9023.2,8470,8668,2201.45
2020-01-19 10-AM,9062.2,9065.1,9023.2,9023.2,208.65
2020-01-19 09-AM,9079,9110,9050,9062.2,123.53
2020-01-19 08-AM,9071.6,9100,9063,9079,81.87
2020-01-19 07-AM,9068.5,9081.2,9033.3,9071.6,168.17
2020-01-19 06-AM,9113,9133.7,9040,9068.5,239.58
2020-01-19 05-AM,9138.1,9138.1,9100,9113,66.65
2020-01-19 04-AM,9141.9,9151.1,9111,9138.1,168.89
2020-01-19 03-AM,9152.6,9185,9140,9141.9,130.73
2020-01-19 02-AM,9132.7,9177.8,9108.3,9152.6,436.24
2020-01-19 01-AM,8968.9,9180,8968.9,9132.7,1600.7
2020-01-19 12-AM,8907.7,8970,8890,8968.9,223.94
2020-01-18 11-PM,8940,8950,8897.1,8907.7,263.6
2020-01-18 10-PM,8914.4,8940,8911.5,8940,140.48
2020-01-18 09-PM,8896.1,8926.3,8896.1,8914.4,103.48
2020-01-18 08-PM,8893.9,8908.7,8893,8896.1,48.08
2020-01-18 07-PM,8870.3,8900,8858.7,8893.9,106.1
2020-01-18 06-PM,8897.1,8899.7,8858.3,8870.3,232.43
2020-01-18 05-PM,8870.9,8903.9,8866.8,8897.1,43.91
2020-01-18 04-PM,8891.9,8924.8,8840,8870.9,200.93
2020-01-18 03-PM,8912.1,8941.7,8860.4,8891.9,185.05
2020-01-18 02-PM,8913,8950,8903.1,8912.1,431.79
2020-01-18 01-PM,8902.2,8940,8890.4,8913,158.26
2020-01-18 12-PM,8858.9,8910,8858.9,8902.2,71.46
2020-01-18 11-AM,8884.6,8884.6,8845.4,8858.9,104.11
2020-01-18 10-AM,8870.9,8894.5,8865.3,8884.6,28.69
2020-01-18 09-AM,8857.9,8890,8847,8870.9,367.2
2020-01-18 08-AM,8840.3,8863.5,8820,8857.9,29.87
2020-01-18 07-AM,8861,8876,8840.2,8840.3,42.02
2020-01-18 06-AM,8844.2,8866.4,8810,8861,98.53
2020-01-18 05-AM,8835.7,8871.3,8815.5,8844.2,84.81
2020-01-18 04-AM,8914.5,8915,8825.1,8835.7,262.58
2020-01-18 03-AM,8911.1,8936,8890,8914.5,100.53
2020-01-18 02-AM,8928.4,8930,8890,8911.1,59.25
2020-01-18 01-AM,8967.4,8975,8894.2,8928.4,332.61
2020-01-18 12-AM,8901.5,8975,8860,8967.4,419.59
2020-01-17 11-PM,8924.9,8945,8891.8,8901.5,179.83
2020-01-17 10-PM,8907.9,8950,8887.2,8924.9,198.18
2020-01-17 09-PM,8866.3,8920,8866.3,8907.9,146.81
2020-01-17 08-PM,8867.8,8920,8854,8866.3,224.15
