Date,Open,High,Low,Close,Volume
2018-10-30 02-PM,6360.52,6360.52,6351.1,6351.2,2.61
2018-10-30 01-PM,6367.87,6368.25,6357.56,6360.52,3.07
2018-10-30 12-PM,6362.37,6374.02,6362.37,6367.87,5.23
2018-10-30 11-AM,6351,6362.87,6342.23,6362.37,2.43
2018-10-30 10-AM,6354.5,6354.5,6347.11,6351,4.19
2018-10-30 09-AM,6353.08,6354.5,6353.08,6354.5,2.48
2018-10-30 08-AM,6375.37,6377.66,6351,6353.08,4.93
2018-10-30 07-AM,6376,6380,6371.84,6375.37,0.6336
2018-10-30 06-AM,6373.1,6377.87,6372.42,6376,0.2774
2018-10-30 05-AM,6375.62,6380,6370.65,6373.1,3.17
2018-10-30 04-AM,6360.35,6380,6360.35,6375.62,5.44
2018-10-30 03-AM,6358.24,6378.03,6358.24,6360.35,7.93
2018-10-30 02-AM,6351.66,6359.46,6346.15,6358.24,4.74
2018-10-30 01-AM,6355,6360.41,6351.66,6351.66,3.67
2018-10-30 12-AM,6350,6355,6349,6355,1.7
2018-10-28 08-PM,6470.08,6485.71,6467.41,6485.71,4.56
2018-10-28 07-PM,6483,6490.64,6470.08,6470.08,7.39
2018-10-28 06-PM,6495.98,6495.98,6478.13,6483,11.63
2018-10-28 05-PM,6496.98,6499.86,6491.46,6495.98,3.9
2018-10-28 04-PM,6490,6496.98,6472.23,6496.98,11.47
2018-10-28 03-PM,6505.79,6515.58,6490,6490,15.42
2018-10-28 02-PM,6504.66,6510.32,6503.17,6505.79,14.88
2018-10-28 01-PM,6500.02,6513.4,6496.18,6504.66,3.77
2018-10-28 12-PM,6497.37,6500.02,6490.09,6500.02,3.83
2018-10-28 11-AM,6486.42,6497.37,6481.6,6497.37,2.29
2018-10-28 10-AM,6493.76,6494.02,6485.24,6486.42,1.31
2018-10-28 09-AM,6490.83,6494.05,6489.99,6493.76,2.64
2018-10-28 08-AM,6500.66,6503.01,6488.62,6490.83,1.3
2018-10-28 07-AM,6506.71,6506.71,6490,6500.66,9.48
2018-10-28 06-AM,6510.02,6513.4,6506.71,6506.71,3.18
2018-10-28 05-AM,6503.81,6510.02,6502.94,6510.02,9.8
2018-10-28 04-AM,6503.63,6506.71,6500.36,6503.81,0.8467
2018-10-28 03-AM,6499.92,6503.63,6499.92,6503.63,1.41
2018-10-28 02-AM,6497.46,6501.28,6497.1,6499.92,0.5495
2018-10-28 01-AM,6499.02,6502.38,6496.78,6497.46,1.45
2018-10-28 12-AM,6502.28,6504.2,6499.02,6499.02,3.19
2018-10-27 11-PM,6502.75,6504.45,6500,6502.28,0.4863
2018-10-27 10-PM,6505.4,6507.05,6500,6502.75,2.46
2018-10-27 09-PM,6493.18,6505.4,6493.18,6505.4,1.14
2018-10-27 08-PM,6489.59,6497.29,6487,6493.18,5.04
2018-10-27 07-PM,6490,6492.37,6489,6489.59,0.606
2018-10-27 06-PM,6496.1,6498,6490,6490,0.3376
2018-10-27 05-PM,6497.22,6500.58,6495,6496.1,3.03
2018-10-27 04-PM,6495,6499.98,6477.3,6497.22,19.52
2018-10-27 03-PM,6512.3,6514.46,6484.12,6495,17.55
2018-10-27 02-PM,6525.09,6525.09,6511,6512.3,20.54
2018-10-27 01-PM,6534,6542.15,6525,6525.09,9.14
2018-10-27 12-PM,6534.56,6535.5,6533.69,6534,0.9243
2018-10-27 11-AM,6535.44,6535.44,6530.46,6534.56,0.3812
2018-10-27 10-AM,6548.86,6548.86,6535,6535.44,1.91
2018-10-27 09-AM,6541.55,6548.86,6535.89,6548.86,6.99
2018-10-27 08-AM,6546,6548.46,6541.27,6541.55,4.03
2018-10-27 07-AM,6545,6552.14,6545,6546,5.23
2018-10-27 06-AM,6544.53,6550.02,6542,6545,0.4793
2018-10-27 05-AM,6547.14,6549.52,6541.32,6544.53,2.08
2018-10-27 04-AM,6545,6555,6545,6547.14,3.98
